CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),hdi_rank,hdi,life_expenctancy,schooling_expected,mean_years_schooling,gni_per_capita
96,Libya,Libya,Middle East and North Africa,N/A,N/A,N/A,7.6,24.4,15.8,N/A,0,20,40.2,51.3,52.8,N/A,5,N/A,N/A,10,20,N/A,139.2,Libya,6.4,$64.40 ,70.8,-7.9,9986,17.7,28,N/A,4.7,108,0.706,72.1,13.4,7.3,11100
97,Liechtenstein,Liechtenstein,Europe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,80,N/A,7,12.5,N/A,N/A,Liechtenstein,"38,000 ppl.",$6.1 CHF (2014 ),N/A,N/A,139100,2.1 (2016),N/A,N/A,N/A,17,0.916,80.4,14.7,12.5,97336
98,Lithuania,Lithuania,Europe,21,12,74.2,73.6,61.2,47.8,86.4,65.1,97.3,75.2,63.6,84.6,86,80,70,2,15,15,30.2,34.1,Lithuania,2.8,$91.20 ,3.8,3,32299,7.1,3.7,595.4,36.5,35,0.858,74.8,16.1,13,28314
99,Luxembourg,Luxembourg,Europe,17,9,75.9,83,72.4,85.8,65.4,46.6,98.9,68.8,45.9,82.6,86,95,80,2,42,18,37.1,42.2,Luxembourg,0.6,$62.70 ,3.5,3.8,106374,5.5,2.1,"6,622.70",23,21,0.904,82,14,12.1,65016
102,Madagascar,Madagascar,Sub-Saharan Africa,114,15,56.6,33.2,24.4,14.3,91,91.8,85.5,47.3,44.6,72.4,69.2,55,50,7.9,20,20,10.1,16.6,Madagascar,25.6,$39.70 ,4.1,3.4,1551,1.8,8.1,389.1,37.3,161,0.519,66.3,10.6,6.1,1358
103,Malawi,Malawi,Sub-Saharan Africa,153,32,51.4,35.8,40.1,25.2,79.8,70.3,19.1,41.7,64,65.5,75.4,50,50,4.8,30,30,14.8,31.5,Malawi,19.2,$22.40 ,4,4,1167,5.9,11.5,277.1,59.3,171,0.477,63.7,10.8,4.5,1064
104,Malaysia,Malaysia,Asia-Pacific,22,6,74,84.1,68.2,55.4,85.6,83.2,82.4,83.9,74.4,78.6,82,60,50,4,25,25,13.8,23.7,Malaysia,32.1,$930.80 ,5.9,5.2,29041,3.4,3.8,"9,543.40",54.2,57,0.802,75.5,13.7,10.2,26107
105,Maldives,Maldives,Asia-Pacific,141,37,53.2,43.9,36.4,33.5,95.8,60.8,10.7,78.3,70.8,81,62.6,35,30,11.2,0,0,20.5,36.1,Maldives,0.4,$6.90 ,4.8,5.2,19151,5,2.8,517.5,68.1,101,0.717,77.6,12.6,6.3,13567
106,Mali,Mali,Sub-Saharan Africa,103,12,58.1,33.7,33.4,29.6,68.7,85.4,84.2,53.8,52.2,81.6,69.8,65,40,7.6,40,35,17.6,22.1,Mali,18.9,$41.00 ,5.3,5.3,2170,7.9,1.8,265.6,35.6,182,0.427,58.5,7.7,2.3,1953
107,Malta,Malta,Europe,41,20,68.6,69.8,50.4,50.3,64.2,56.1,94.5,67.1,61.3,78.2,86,85,60,2,35,35,33.6,38.3,Malta,0.5,$19.30 ,6.6,6.9,41945,4,1.3,"3,185.20",52.6,29,0.878,81,15.9,11.3,34396
108,Mauritania,Mauritania,Sub-Saharan Africa,119,18,55.7,27.5,30.6,30.6,78,74.2,80.6,61.9,51.5,81.2,62.6,50,40,8.7,30,25,25.9,29.3,Mauritania,3.9,$17.30 ,3.2,3.5,4444,9.9,2.3,329.6,91.1,159,0.52,63.4,8.6,4.5,3592
109,Mauritius,Mauritius,Sub-Saharan Africa,25,1,73,69.5,62.1,40.3,92.1,80.3,73.6,79.8,60.8,79.4,88.4,80,70,0.8,15,15,18.4,25.6,Mauritius,1.3,$27.50 ,3.9,3.6,21640,7.1,3.7,292.7,60.2,65,0.79,74.9,15.1,9.3,20189
110,Mexico,Mexico,Americas,66,12,64.7,59.1,34.9,26.3,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75,60,4.3,35,30,17.2,26.9,Mexico,123.5,"$2,458.40 ",2,2.5,19903,3.4,6,"29,695.00",54.2,74,0.774,77.3,14.1,8.6,16944
111,Micronesia,Micronesia,Asia-Pacific,149,38,51.9,7.6,26.6,36.6,92.8,0,98.8,57.4,71.9,85.8,80.6,35,30,2.2,10,21,13.2,59.2,Micronesia,0.1,$0.30 ,2,0.7,3393,N/A,0.5,N/A,24.5,131,0.627,69.3,11.7,8,3843
112,Moldova,Moldova,Europe,97,40,59.1,55.2,29.6,25.4,85.4,59.1,92,67,39,73.5,78,55,50,3.5,18,12,31.5,36.9,Moldova,3.5,$20.10 ,4,4.4,5661,4.5,6.6,213.8,37.7,112,0.7,71.7,11.6,11.6,5554
113,Mongolia,Mongolia,Asia-Pacific,126,29,55.4,48.2,23.8,29.8,88.5,63.1,6.2,66,75,77.8,75.8,50,60,4.6,10,25,20.7,35.1,Mongolia,3.1,$39.70 ,5.1,5.7,12979,7,4.6,"1,494.40",91.4,92,0.741,69.5,15.5,10.1,10103
